# Additional grade-3 kanji (N3), set E.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
負	フ	ま(ける)、お(う)	to lose; to bear; negative	貝	かい	⺈、貝	9	3
面	メン	おも、つら	face; surface; mask; -side	面	めん		9	3
由	ユ、ユウ、ユイ	よし	reason; cause; significance	田	た		5	3
予	ヨ		beforehand; in advance	亅	はねぼう	マ、了	4	3
羊	ヨウ	ひつじ	sheep	羊	ひつじ		6	3
洋	ヨウ		ocean; Western	氵	さんずい	氵、羊	9	3
陽	ヨウ		sun; positive; yang	阝	こざとへん	阝、昜	12	3
礼	レイ、ライ		courtesy; thanks; rite	礻	しめすへん	礻、乚	5	3
列	レツ		row; line; column	刂	りっとう	歹、刂	6	3
路	ロ	じ	road; path; route	足	あしへん	足、各	13	3
和	ワ、オ	やわ(らぐ)、なご(む)	harmony; Japan; peace	口	くち	禾、口	8	3
