# Certainty, safety & norms — likelihood, standards, and necessity.
# Belongs here: sureness/accuracy (確か, 確実, 正確), safety/risk (安全,
# 危険), what is normal/expected (普通, 通常, 当然, 自然), necessity and
# possibility (必要, 十分, 可能, 不可能).
kanji	hiragana	type	english
通常	つうじょう	na-adjective	usual; ordinary; normal state
安全	あんぜん	na-adjective	safe; secure; safety
危険	きけん	na-adjective	dangerous; risky; danger
必要	ひつよう	na-adjective	necessary; needed
確か	たしか	na-adjective	certain; sure; if I recall
十分	じゅうぶん	na-adjective	enough; sufficient
普通	ふつう	na-adjective	normal; ordinary; usual
自然	しぜん	na-adjective	natural
確実	かくじつ	na-adjective	certain; reliable; sure
正確	せいかく	na-adjective	accurate; precise; exact
当然	とうぜん	na-adjective	natural; obvious; of course
可能	かのう	na-adjective	possible
不可能	ふかのう	na-adjective	impossible
完全	かんぜん	na-adjective	complete; perfect
不完全	ふかんぜん	na-adjective	incomplete; imperfect
明確	めいかく	na-adjective	clear; well-defined
曖昧	あいまい	na-adjective	vague; ambiguous
不正確	ふせいかく	na-adjective	inaccurate; imprecise
妥当	だとう	na-adjective	reasonable; valid; appropriate
異常	いじょう	na-adjective	abnormal; unusual
